	value	expression
289	48	('*', ('*', 6, ('-', 10, 2)), 1)
290	48	('*', ('*', 1, 6), ('-', 10, 2))
291	48	('*', ('*', 1, ('-', 10, 2)), 6)
292	48	('*', ('*', ('-', 10, 2), 6), 1)
293	48	('*', ('*', ('-', 10, 2), 1), 6)
294	47	('-', ('*', 6, ('-', 10, 2)), 1)
295	47	('-', ('*', ('-', 10, 2), 6), 1)
296	44	('*', ('-', 6, 2), ('+', 10, 1))
297	44	('*', ('-', 6, 2), ('+', 1, 10))
298	44	('*', ('+', 10, 1), ('-', 6, 2))
299	44	('*', ('+', 1, 10), ('-', 6, 2))
300	42	('*', 6, ('-', 10, ('+', 2, 1)))
301	42	('*', 6, ('-', 10, ('+', 1, 2)))
302	42	('*', 6, ('-', ('-', 10, 2), 1))
303	42	('*', 6, ('-', ('-', 10, 1), 2))
304	42	('*', ('-', 10, ('+', 2, 1)), 6)
305	42	('*', ('-', 10, ('+', 1, 2)), 6)
306	42	('*', ('-', ('-', 10, 2), 1), 6)
307	42	('*', ('-', ('-', 10, 1), 2), 6)
308	41	('-', 1, ('*', 10, ('-', 2, 6)))
309	41	('-', 1, ('*', ('-', 2, 6), 10))
310	41	('+', 1, ('*', 10, ('-', 6, 2)))
311	41	('+', 1, ('*', ('-', 6, 2), 10))
312	41	('+', ('*', 10, ('-', 6, 2)), 1)
313	41	('+', ('*', ('-', 6, 2), 10), 1)
314	40	('/', 10, ('/', 1, ('-', 6, 2)))
315	40	('/', ('-', 6, 2), ('/', 1, 10))
316	40	('/', ('*', 10, ('-', 6, 2)), 1)
317	40	('/', ('*', ('-', 6, 2), 10), 1)
318	40	('*', 10, ('/', ('-', 6, 2), 1))
319	40	('*', 10, ('-', 6, ('/', 2, 1)))
320	40	('*', 10, ('-', 6, ('*', 2, 1)))
321	40	('*', 10, ('-', 6, ('*', 1, 2)))
322	40	('*', 10, ('-', ('/', 6, 1), 2))
323	40	('*', 10, ('-', ('*', 6, 1), 2))
324	40	('*', 10, ('-', ('*', 1, 6), 2))
325	40	('*', 10, ('+', 1, ('/', 6, 2)))
326	40	('*', 10, ('+', ('/', 6, 2), 1))
327	40	('*', 10, ('*', 1, ('-', 6, 2)))
328	40	('*', 10, ('*', ('-', 6, 2), 1))
329	40	('*', 1, ('*', 10, ('-', 6, 2)))
330	40	('*', 1, ('*', ('-', 6, 2), 10))
331	40	('*', ('/', 10, 1), ('-', 6, 2))
332	40	('*', ('/', ('-', 6, 2), 1), 10)
333	40	('*', ('-', 6, 2), ('/', 10, 1))
334	40	('*', ('-', 6, 2), ('*', 10, 1))
335	40	('*', ('-', 6, 2), ('*', 1, 10))
336	40	('*', ('-', 6, 1), ('-', 10, 2))
337	40	('*', ('-', 6, ('/', 2, 1)), 10)
338	40	('*', ('-', 6, ('*', 2, 1)), 10)
339	40	('*', ('-', 6, ('*', 1, 2)), 10)
340	40	('*', ('-', 2, 10), ('-', 1, 6))
341	40	('*', ('-', 10, 2), ('-', 6, 1))
342	40	('*', ('-', 1, 6), ('-', 2, 10))
343	40	('*', ('-', ('/', 6, 1), 2), 10)
344	40	('*', ('-', ('*', 6, 1), 2), 10)
345	40	('*', ('-', ('*', 1, 6), 2), 10)
346	40	('*', ('+', 1, ('/', 6, 2)), 10)
347	40	('*', ('+', ('/', 6, 2), 1), 10)
348	40	('*', ('*', 10, 1), ('-', 6, 2))
349	40	('*', ('*', 10, ('-', 6, 2)), 1)
350	40	('*', ('*', 1, 10), ('-', 6, 2))
351	40	('*', ('*', 1, ('-', 6, 2)), 10)
352	40	('*', ('*', ('-', 6, 2), 10), 1)
353	40	('*', ('*', ('-', 6, 2), 1), 10)
354	39	('-', ('*', 10, ('-', 6, 2)), 1)
355	39	('-', ('*', ('-', 6, 2), 10), 1)
356	36	('+', 6, ('*', 10, ('+', 2, 1)))
357	36	('+', 6, ('*', 10, ('+', 1, 2)))
358	36	('+', 6, ('*', ('+', 2, 1), 10))
359	36	('+', 6, ('*', ('+', 1, 2), 10))
360	36	('+', ('*', 10, ('+', 2, 1)), 6)
361	36	('+', ('*', 10, ('+', 1, 2)), 6)
362	36	('+', ('*', ('+', 2, 1), 10), 6)
363	36	('+', ('*', ('+', 1, 2), 10), 6)
364	36	('*', 6, ('+', 1, ('/', 10, 2)))
365	36	('*', 6, ('+', ('/', 10, 2), 1))
366	36	('*', ('-', 6, 2), ('-', 10, 1))
367	36	('*', ('-', 2, 6), ('-', 1, 10))
368	36	('*', ('-', 10, 1), ('-', 6, 2))
369	36	('*', ('-', 1, 10), ('-', 2, 6))
370	36	('*', ('+', 1, ('/', 10, 2)), 6)
371	36	('*', ('+', ('/', 10, 2), 1), 6)
372	35	('/', 10, ('/', 2, ('+', 6, 1)))
373	35	('/', 10, ('/', 2, ('+', 1, 6)))
374	35	('/', ('+', 6, 1), ('/', 2, 10))
375	35	('/', ('+', 1, 6), ('/', 2, 10))
376	35	('/', ('*', 10, ('+', 6, 1)), 2)
377	35	('/', ('*', 10, ('+', 1, 6)), 2)
378	35	('/', ('*', ('+', 6, 1), 10), 2)
379	35	('/', ('*', ('+', 1, 6), 10), 2)
380	35	('*', 10, ('/', ('+', 6, 1), 2))
381	35	('*', 10, ('/', ('+', 1, 6), 2))
382	35	('*', ('/', 10, 2), ('+', 6, 1))
383	35	('*', ('/', 10, 2), ('+', 1, 6))
384	35	('*', ('/', ('+', 6, 1), 2), 10)
385	35	('*', ('/', ('+', 1, 6), 2), 10)
386	35	('*', ('+', 6, 1), ('/', 10, 2))
387	35	('*', ('+', 1, 6), ('/', 10, 2))
388	34	('*', 2, ('+', 6, ('+', 10, 1)))
389	34	('*', 2, ('+', 6, ('+', 1, 10)))
390	34	('*', 2, ('+', 10, ('+', 6, 1)))
391	34	('*', 2, ('+', 10, ('+', 1, 6)))
392	34	('*', 2, ('+', 1, ('+', 6, 10)))
393	34	('*', 2, ('+', 1, ('+', 10, 6)))
394	34	('*', 2, ('+', ('+', 6, 10), 1))
395	34	('*', 2, ('+', ('+', 6, 1), 10))
396	34	('*', 2, ('+', ('+', 10, 6), 1))
397	34	('*', 2, ('+', ('+', 10, 1), 6))
398	34	('*', 2, ('+', ('+', 1, 6), 10))
399	34	('*', 2, ('+', ('+', 1, 10), 6))
400	34	('*', ('+', 6, ('+', 10, 1)), 2)
401	34	('*', ('+', 6, ('+', 1, 10)), 2)
402	34	('*', ('+', 10, ('+', 6, 1)), 2)
403	34	('*', ('+', 10, ('+', 1, 6)), 2)
404	34	('*', ('+', 1, ('+', 6, 10)), 2)
405	34	('*', ('+', 1, ('+', 10, 6)), 2)
406	34	('*', ('+', ('+', 6, 10), 1), 2)
407	34	('*', ('+', ('+', 6, 1), 10), 2)
408	34	('*', ('+', ('+', 10, 6), 1), 2)
409	34	('*', ('+', ('+', 10, 1), 6), 2)
410	34	('*', ('+', ('+', 1, 6), 10), 2)
411	34	('*', ('+', ('+', 1, 10), 6), 2)
412	33	('/', 6, ('/', 2, ('+', 10, 1)))
413	33	('/', 6, ('/', 2, ('+', 1, 10)))
414	33	('/', ('+', 10, 1), ('/', 2, 6))
415	33	('/', ('+', 1, 10), ('/', 2, 6))
416	33	('/', ('*', 6, ('+', 10, 1)), 2)
417	33	('/', ('*', 6, ('+', 1, 10)), 2)
418	33	('/', ('*', ('+', 10, 1), 6), 2)
419	33	('/', ('*', ('+', 1, 10), 6), 2)
420	33	('+', 1, ('*', 2, ('+', 6, 10)))
421	33	('+', 1, ('*', 2, ('+', 10, 6)))
422	33	('+', 1, ('*', ('+', 6, 10), 2))
423	33	('+', 1, ('*', ('+', 10, 6), 2))
424	33	('+', ('*', 2, ('+', 6, 10)), 1)
425	33	('+', ('*', 2, ('+', 10, 6)), 1)
426	33	('+', ('*', ('+', 6, 10), 2), 1)
427	33	('+', ('*', ('+', 10, 6), 2), 1)
428	33	('*', 6, ('/', ('+', 10, 1), 2))
429	33	('*', 6, ('/', ('+', 1, 10), 2))
430	33	('*', ('/', 6, 2), ('+', 10, 1))
431	33	('*', ('/', 6, 2), ('+', 1, 10))
432	33	('*', ('/', ('+', 10, 1), 2), 6)
433	33	('*', ('/', ('+', 1, 10), 2), 6)
434	33	('*', ('+', 10, 1), ('/', 6, 2))
435	33	('*', ('+', 1, 10), ('/', 6, 2))
436	32	('/', 2, ('/', 1, ('+', 6, 10)))
437	32	('/', 2, ('/', 1, ('+', 10, 6)))
438	32	('/', ('+', 6, 10), ('/', 1, 2))
439	32	('/', ('+', 10, 6), ('/', 1, 2))
440	32	('/', ('*', 2, ('+', 6, 10)), 1)
441	32	('/', ('*', 2, ('+', 10, 6)), 1)
442	32	('/', ('*', ('+', 6, 10), 2), 1)
443	32	('/', ('*', ('+', 10, 6), 2), 1)
444	32	('*', 2, ('/', ('+', 6, 10), 1))
445	32	('*', 2, ('/', ('+', 10, 6), 1))
446	32	('*', 2, ('+', 6, ('/', 10, 1)))
447	32	('*', 2, ('+', 6, ('*', 10, 1)))
448	32	('*', 2, ('+', 6, ('*', 1, 10)))
449	32	('*', 2, ('+', 10, ('/', 6, 1)))
450	32	('*', 2, ('+', 10, ('*', 6, 1)))
451	32	('*', 2, ('+', 10, ('*', 1, 6)))
452	32	('*', 2, ('+', ('/', 6, 1), 10))
453	32	('*', 2, ('+', ('/', 10, 1), 6))
454	32	('*', 2, ('+', ('*', 6, 1), 10))
455	32	('*', 2, ('+', ('*', 10, 1), 6))
456	32	('*', 2, ('+', ('*', 1, 6), 10))
457	32	('*', 2, ('+', ('*', 1, 10), 6))
458	32	('*', 2, ('*', 1, ('+', 6, 10)))
459	32	('*', 2, ('*', 1, ('+', 10, 6)))
